lead_id,company_name,industry_code,industry_name,lead_source,product_interest,inquiry_text,office_country,created_at,last_contacted_at,company_size,annual_revenue,lead_score,pages_viewed,requested_demo,sales_notes,constant_source,converted
50000,Acme Group,TRVL,Trave,Webinar,Security audit,Looking for security audit for a operations team before Q2,France,,2023-07-07,79,2082219.05,69.6,3,0,,crm_export,1
50001,Nova Systems,MEDIA,Media,NA,CRM integration,Needs help replacing legacy BI tool with crm integration,Brasil,2022-03-25,2022-10-07,257,,73.9,5,1,asked about pricing,crm_export,1
50002,Nova Analytics,TRVL,Travel,Cold email,Security audit,Looking for security audit for a operations team before Q1,Canada,2023-10-15,2023-02-06,27,6650849.11,53.4,6,0,,crm_export,0
50003,Nimbus Labs,TECH,Technology,Website,Data warehouse,Comparing vendors for data warehouse after a failed spreadsheet rollout,Canada,2021-07-04,2021-01-05,69,606258.85,38.4,5,0,,crm_export,0
50004,Nova Analytics,TECH,Technology,Referral,Analytics platform,Comparing vendors for analytics platform after a failed warehouse rollout,Espana,2021-05-04,2021-12-19,114,1742808.01,62.9,5,1,,crm_export,1
50005,Nova Systems,EDU,Education,NA,Marketing automation,Asked about pricing for marketing automation and onboarding support,Great Britain,2025-09-01,2025-02-23,35,18334168.55,34.0,1,0,,crm_export,0
50006,Acme Analytics,MEDIA,Media,Website,Analytics platform,Wants a demo focused on forecasting and integration options,India,2023-05-19,2023-10-28,51,13390477.02,14.0,0,0,,crm_export,0
50007,Nova Analytics,FIN,Finance,Website,Data warehouse,Asked about pricing for data warehouse and onboarding support,India,2021-12-12,2021-04-05,13,10899819.75,NA,3,1,NA,crm_export,1
50008,Summit Group,TECH,Technology,Conference,Analytics platform,Wants a demo focused on forecasting and integration options,India,2024-02-13,2024-10-26,127,51460780.74,54.9,4,0,,crm_export,0
50009,Nimbus Labs,RETL,Retail,Partner,Security audit,"Procurement requested details about lead scoring, pricing, and security",United States,2023-09-05,2023-09-05,241,1819724.06,81.8,6,0,,crm_export,0
50010,BluePeak Group,EDU,Education,Webinar,Data warehouse,Comparing vendors for data warehouse after a failed warehouse rollout,United States,2022-07-06,2022-11-05,127,12368484.44,77.3,9,1,NA,crm_export,0
50011,Summit Group,EDU,Education,LinkedIn,Security audit,Asked about pricing for security audit and onboarding support,Italia,2022-10-28,2022-02-02,247,1987282.81,34.7,10,0,,crm_export,0
50012,Nova Solutions,MEDIA,Media,,Security audit,Needs help replacing legacy spreadsheet with security audit,Germany,2025-09-02,NA,58,7697490.05,87.4,5,0,asked about pricing,crm_export,1
50013,BluePeak Systems,RETL,Retail,Referral,Customer data platform,"Procurement requested details about reporting, pricing, and security",Canada,2025-07-18,2025-10-20,12,2333364.13,58.3,3,0,follow up next quarter,crm_export,1
50014,BluePeak Solutions,RETL,Retail,Cold email,Analytics platform,Wants a demo focused on lead scoring and integration options,United States,2021-03-08,2021-10-27,43,5543074.38,44.5,5,0,,crm_export,1
50015,Nova Systems,TRVL,Travel,Conference,Security audit,Looking for security audit for a finance team before Q1,India,2024-06-23,2024-02-12,66,1990252.75,64.4,6,1,needs security review,crm_export,1
50016,BluePeak Group,MFG,Manufacturing,,Forecasting dashboard,Wants a demo focused on compliance and integration options,India,2025-08-28,2025-06-24,51,6123215.82,36.7,5,0,asked about pricing,crm_export,0
50017,Vertex Labs,HLTH,Healthcare,Cold email,Forecasting dashboard,Asked about pricing for forecasting dashboard and onboarding support,India,2022-02-23,2022-11-06,30,26291317.34,60.5,5,0,,crm_export,1
50018,Acme Labs,FIN,Finance,,Marketing automation,Wants a demo focused on compliance and integration options,Italia,2024-03-07,2024-06-27,99,8356396.76,55.7,1,1,,crm_export,1
50019,Acme Group,TECH,Technlogy,Conference,Customer data platform,Comparing vendors for customer data platform after a failed spreadsheet rollout,Spain,2024-05-06,2024-03-01,27,4566992.93,26.6,6,0,,crm_export,1
50020,Vertex Analytics,TECH,Technlogy,Website,CRM integration,Looking for crm integration for a sales team before Q3,Italy,2021-01-24,2021-06-25,185,3738033.36,52.8,6,0,,crm_export,1
50021,Summit Systems,MFG,Manufacturing,Referral,CRM integration,Comparing vendors for crm integration after a failed BI tool rollout,Australia,2022-10-07,2022-04-12,351,21449366.94,100.0,4,0,,crm_export,1
50022,Nova Solutions,EDU,Education,Website,Forecasting dashboard,Needs help replacing legacy spreadsheet with forecasting dashboard,India,2022-04-03,2022-08-02,22,2249077.36,73.2,5,1,needs security review,crm_export,0
